Symbol,Sector
AUROW,Technology
AUTL,Health Care
AUUD,Technology
AUUDW,Technology
AUVI,Consumer Discretionary
AUVIP,Consumer Discretionary
AVA,Utilities
AVAH,Health Care
AVAL,Finance
AVAV,Industrials
AVB,Real Estate
AVD,Industrials
AVDL,Health Care
AVDX,Technology
AVGO,Technology
AVGR,Health Care
AVHI,Finance
AVIR,Health Care
AVK,Finance
AVNS,Health Care
AVNT,Industrials
AVNW,Technology
AVO,Consumer Staples
AVPT,Technology
AVPTW,Technology
AVRO,Health Care
AVT,Technology
AVTE,Health Care
AVTR,Industrials
AVTX,Health Care
AVXL,Health Care
AVY,Consumer Discretionary
AWF,Finance
AWH,Health Care
AWI,Industrials
AWIN,Industrials
AWINW,Industrials
AWK,Utilities
AWP,Finance
AWR,Utilities
AWRE,Technology
AWX,Utilities
AX,Finance
AXDX,Industrials
AXGN,Health Care
AXIL,Consumer Discretionary
AXL,Consumer Discretionary
AXNX,Health Care
AXON,Industrials
AXP,Finance
AXR,Real Estate
AXS,Finance
AXSM,Health Care
AXTA,Consumer Discretionary
AXTI,Technology
AY,Utilities
AYI,Consumer Discretionary
AYTU,Health Care
AZ,Industrials
AZEK,Industrials
AZN,Health Care
AZO,Consumer Discretionary
AZPN,Technology
AZTA,Technology
AZTR,Health Care
AZUL,Consumer Discretionary
AZZ,Industrials
B,Industrials
BA,Industrials
BABA,Consumer Discretionary
BAC,Finance
BACA,Finance
BACK,Health Care
BAER,Finance
BAERW,Finance
BAFN,Finance
BAH,Consumer Discretionary
BAK,Industrials
BALL,Industrials
BALY,Consumer Discretionary
BANC,Finance
BAND,Technology
BANF,Finance
BANFP,Finance
BANL,Energy
BANR,Finance
BANX,Finance
BAOS,Consumer Discretionary
BAP,Finance
BARK,Consumer Discretionary
BASE,Technology
BATL,Energy
BATRA,Industrials
BATRK,Industrials
BAX,Health Care
BB,Technology
BBAI,Technology
BBAR,Finance
BBCP,Consumer Discretionary
BBD,Finance
BBDC,Finance
BBDO,Finance
BBGI,Consumer Discretionary
BBIO,Health Care
BBLG,Health Care
BBLGW,Health Care
BBN,Finance
BBSI,Consumer Discretionary
BBU,Consumer Discretionary
BBVA,Finance
BBW,Consumer Discretionary
BBWI,Consumer Discretionary
BBY,Consumer Discretionary
BC,Consumer Discretionary
BCAB,Health Care
BCAL,Finance
BCAN,Technology
BCAT,Finance
BCBP,Finance
BCC,Consumer Discretionary
BCDA,Health Care
BCE,Telecommunications
BCH,Finance
BCLI,Health Care
BCML,Finance
BCO,Consumer Discretionary
BCOV,Technology
BCOW,Finance
BCPC,Industrials
BCRX,Health Care
BCS,Finance
BCSA,Finance
BCSAU,Finance
BCSF,Finance
BCTX,Health Care
BCTXW,Health Care
BCV,Finance
BCX,Finance
BCYC,Health Care
BDC,Telecommunications
BDJ,Finance
BDL,Consumer Discretionary
BDN,Real Estate
BDRX,Health Care
BDSX,Health Care
BDTX,Health Care
BDX,Health Care
BE,Energy
BEAM,Health Care
BEAT,Technology
BEATW,Technology
BECN,Consumer Discretionary
BEDU,Real Estate
BEEM,Technology
BEEMW,Technology
BEEP,Finance
BEKE,Finance
BEN,Finance
BENF,Finance
BEP,Utilities
BEPC,Utilities
BERY,Industrials
BEST,Industrials
BETR,Finance
BFAC,Finance
BFAM,Consumer Discretionary
BFC,Finance
BFH,Consumer Discretionary
BFI,Consumer Discretionary
BFIIW,Consumer Discretionary
BFIN,Finance
BFK,Finance
BFLY,Health Care
BFRG,Technology
BFRGW,Technology
BFRI,Health Care
BFRIW,Health Care
BFS,Real Estate
BFST,Finance
BFZ,Finance
BG,Consumer Staples
BGB,Finance
BGC,Finance
BGFV,Consumer Discretionary
BGH,Finance
BGI,Consumer Discretionary
BGLC,Health Care
BGNE,Health Care
BGR,Finance
BGS,Consumer Staples
BGSF,Consumer Discretionary
BGT,Finance
BGX,Finance
BGXX,Health Care
BGY,Finance
BH,Consumer Discretionary
BHAC,Finance
BHAT,Consumer Discretionary
BHB,Finance
BHC,Health Care
BHE,Technology
BHF,Finance
BHFAL,Finance
BHFAM,Finance
BHFAN,Finance
BHFAO,Finance
BHFAP,Finance
BHIL,Consumer Staples
BHK,Finance
BHLB,Finance
BHM,Real Estate
BHP,Basic Materials
BHR,Real Estate
BHRB,Finance
BHV,Finance
BHVN,Health Care
BIAF,Health Care
BIAFW,Health Care
BIDU,Technology
BIG,Consumer Discretionary
BIGC,Technology
BIIB,Health Care
BILI,Technology
BILL,Technology
BIMI,Health Care
BIO,Industrials
BIOL,Health Care
BIOR,Health Care
BIOX,Industrials
BIP,Consumer Discretionary
BIRD,Consumer Discretionary
BIT,Finance
BITE,Finance
BITF,Finance
BIVI,Health Care
BJ,Consumer Discretionary
BJDX,Health Care
BJRI,Consumer Discretionary
BK,Finance
BKD,Health Care
BKDT,Health Care
BKE,Consumer Discretionary
BKH,Utilities
BKKT,Technology
BKN,Finance
BKNG,Consumer Discretionary
BKR,Industrials
BKSY,Technology
BKT,Finance
BKTI,Technology
BKU,Finance
BKYI,Technology
BL,Technology
BLAC,Finance
BLACR,Finance
BLACW,Finance
BLBD,Consumer Discretionary
BLBX,Technology
BLCO,Health Care
BLD,Consumer Discretionary
BLDE,Consumer Discretionary
BLDEW,Consumer Discretionary
BLDP,Energy
BLDR,Consumer Discretionary
BLE,Finance
BLEU,Finance
BLFS,Health Care
BLFY,Finance
BLIN,Technology
BLK,Finance
BLKB,Technology
BLMN,Consumer Discretionary
BLND,Technology
BLNK,Consumer Discretionary
BLRX,Health Care
BLTE,Health Care
BLUA,Finance
BLUE,Health Care
BLW,Consumer Discretionary
BLX,Finance
BLZE,Technology
BMA,Finance
BMBL,Technology
BME,Finance
BMEA,Health Care
BMEZ,Finance
BMI,Industrials
BMN,Finance
BMO,Finance
BMR,Technology
BMRA,Health Care
BMRC,Finance
BMRN,Health Care
BMTX,Finance
BMY,Health Care
BN,Consumer Discretionary
BNAI,Finance
BNAIW,Finance
BNED,Consumer Discretionary
BNGO,Industrials
BNH,Real Estate
BNIX,Finance
BNIXR,Finance
BNJ,Real Estate
BNL,Real Estate
BNOX,Health Care
BNR,Health Care
BNRE,Finance
BNS,Finance
BNTC,Health Care
BNTX,Health Care
BNY,Finance
BNZIW,Finance
BOC,Finance
BOCN,Finance
BODI,Industrials
BOE,Finance
BOF,Consumer Staples
BOH,Finance
BOKF,Finance
BOLT,Health Care
BON,Health Care
BOOM,Industrials
BOOT,Consumer Discretionary
BORR,Energy
BOSC,Telecommunications
BOTJ,Finance
BOWL,Consumer Discretionary
BOX,Technology
BOXL,Real Estate
BP,Energy
BPMC,Health Care
BPOP,Finance
BPOPM,Finance
BPRN,Finance
BPT,Energy
BPTH,Health Care
BPTS,Health Care
BPYPM,Finance
BPYPN,Finance
BPYPO,Finance
BPYPP,Finance
BQ,Consumer Discretionary
BR,Consumer Discretionary
BRAG,Technology
BRBR,Consumer Staples
BRBS,Finance
BRC,Consumer Discretionary
BRCC,Consumer Staples
BRDG,Finance
BREA,Consumer Discretionary
BREZ,Finance
BREZR,Finance
BREZW,Finance
BRFH,Consumer Staples
BRFS,Consumer Staples
BRID,Consumer Staples
BRKH,Finance
BRKHW,Finance
BRKL,Finance
BRKR,Industrials
BRLS,Finance
BRLSW,Finance
BRLT,Consumer Discretionary
BRN,Energy
BRNS,Health Care
BRO,Finance
BROG,Energy
BROGW,Energy
BROS,Consumer Discretionary
BRP,Finance
BRSH,Health Care
BRSP,Real Estate
BRT,Real Estate
BRTX,Health Care
BRW,Finance
BRX,Real Estate
BRY,Energy
BRZE,Technology
BSAC,Finance
BSBR,Finance
BSET,Consumer Discretionary
BSGM,Health Care
BSIG,Finance
BSL,Finance
BSM,Energy
BSRR,Finance
BST,Finance
BSTZ,Finance
BSVN,Finance
BSX,Health Care
BSY,Technology
BTA,Finance
BTAI,Health Care
BTBD,Consumer Discretionary
BTBDW,Consumer Discretionary
BTBT,Finance
BTCM,Technology
BTCS,Finance
BTCT,Real Estate
BTCTW,Real Estate
BTCY,Health Care
BTDR,Technology
BTE,Consumer Staples
BTI,Health Care
BTM,Finance
BTMD,Health Care
BTMWW,Finance
BTO,Finance
BTOG,Finance
BTT,Finance
BTTR,Consumer Staples
BTU,Energy
BTZ,Finance
BUD,Consumer Staples
BUI,Finance
BUJAR,Finance
BUR,Finance
BURL,Consumer Discretionary
BURU,Technology
BUSE,Finance
BV,Consumer Discretionary
BVFL,Finance
BVN,Basic Materials
BVS,Health Care
BW,Industrials
BWA,Consumer Discretionary
BWAQ,Finance
BWAQR,Finance
BWAQW,Finance
BWAY,Health Care
BWB,Finance
BWBBP,Finance
BWEN,Telecommunications
BWFG,Finance
BWG,Finance
BWMN,Consumer Discretionary
BWMX,Consumer Discretionary
BWNB,Industrials
BWSN,Industrials
BWXT,Industrials
BX,Finance
BXC,Consumer Discretionary
BXMT,Real Estate
BXMX,Finance
BXP,Real Estate
BXSL,Finance
BY,Finance
BYD,Consumer Discretionary
BYFC,Finance
BYM,Finance
BYND,Consumer Staples
BYNO,Finance
BYON,Consumer Discretionary
BYSI,Health Care
BYU,Technology
BZ,Technology
BZFD,Consumer Discretionary
BZFDW,Consumer Discretionary
BZH,Consumer Discretionary
BZUN,Consumer Discretionary
C,Finance
CAAP,Consumer Discretionary
CAAS,Consumer Discretionary
CABA,Health Care
CABO,Telecommunications
CAC,Finance
CACC,Finance
CACI,Technology
CACO,Consumer Discretionary
CADE,Finance
CADL,Health Care
CAF,Finance
CAG,Consumer Staples
CAH,Health Care
CAKE,Consumer Discretionary
CAL,Consumer Discretionary
CALB,Finance
CALC,Health Care
CALM,Consumer Staples
CALT,Health Care
CALX,Consumer Discretionary
CAMP,Technology
CAMT,Technology
CAN,Technology
CANF,Health Care
CANG,Technology
CAPL,Energy
CAPR,Health Care
CAPT,Finance
CAPTW,Finance
CAR,Consumer Discretionary
CARA,Health Care
CARE,Finance
CARG,Technology
CARM,Health Care
CARR,Industrials
CARV,Finance
CASA,Technology
CASH,Finance
CASI,Health Care
CASS,Consumer Discretionary
CAT,Industrials
CATC,Finance
CATO,Consumer Discretionary
CATX,Health Care
CATY,Finance
CAUD,Finance
CAVA,Consumer Discretionary
CB,Finance
CBAN,Finance
CBD,Consumer Staples
CBFV,Finance
CBH,Finance
CBL,Real Estate
CBNK,Finance
CBOE,Finance
CBRE,Finance
CBRG,Finance
CBRL,Consumer Discretionary
CBSH,Finance
CBT,Industrials
CBU,Finance
CBUS,Industrials
CBZ,Consumer Discretionary
CC,Industrials
CCAP,Finance
CCB,Finance
CCBG,Finance
CCCC,Health Care
CCCS,Technology
CCD,Finance
CCEL,Health Care
CCEP,Consumer Staples
CCI,Real Estate
CCIF,Finance
CCJ,Basic Materials
CCK,Industrials
CCL,Consumer Discretionary
CCLD,Technology
CCLDO,Technology
CCLDP,Technology
CCLP,Energy
CCM,Health Care
CCNE,Finance
CCNEP,Finance
CCO,Consumer Discretionary
CCOI,Consumer Discretionary
CCRD,Technology
CCRN,Consumer Discretionary
CCS,Consumer Discretionary
CCSI,Technology
CCTS,Finance
CCTSW,Finance
CCU,Consumer Staples
CCZ,Telecommunications
CDAQ,Finance
CDAQW,Finance
CDE,Basic Materials
CDIO,Health Care
CDIOW,Health Care
CDLX,Technology
CDMO,Health Care
CDNA,Health Care
CDNS,Technology
CDP,Real Estate
CDRE,Health Care
CDRO,Consumer Discretionary
CDROW,Consumer Discretionary
CDT,Health Care
CDTTW,Health Care
CDTX,Health Care
CDW,Consumer Discretionary
CDXC,Health Care
CDXS,Industrials
CDZI,Utilities
CDZIP,Utilities
CE,Industrials
CEAD,Industrials
CEADW,Industrials
CECO,Industrials
CEE,Finance
CEG,Utilities
CEI,Energy
CEIX,Energy
CELC,Health Care
CELH,Consumer Staples
CELU,Health Care
CELUW,Health Care
CELZ,Health Care
CEM,Finance
CENN,Consumer Discretionary
CENT,Consumer Discretionary
CENTA,Consumer Discretionary
CENX,Industrials
CEPU,Utilities
CERE,Health Care
CERS,Technology
CERT,Technology
CET,Finance
CETU,Finance
CETUR,Finance
CETUW,Finance
CETX,Technology
CETY,Utilities
CEV,Finance
CEVA,Technology
CF,Industrials
CFB,Finance
CFBK,Finance
CFFI,Finance
CFFN,Finance
CFFS,Finance
CFG,Finance
CFLT,Technology
CFR,Finance
CFSB,Finance
CG,Finance
CGA,Industrials
CGABL,Finance
CGAU,Basic Materials
CGBD,Finance
CGC,Health Care
CGEM,Health Care
CGEN,Health Care
CGNT,Technology
CGNX,Industrials
CGO,Finance
CGTX,Health Care
CHAA,Finance
CHCI,Finance
CHCO,Finance
CHCT,Real Estate
CHD,Consumer Discretionary
CHDN,Consumer Discretionary
CHE,Health Care
CHEF,Consumer Discretionary
CHEK,Health Care
CHGG,Real Estate
CHH,Consumer Discretionary
CHI,Finance
CHK,Energy
CHKEL,Energy
CHKEW,Energy
CHKEZ,Energy
CHKP,Technology
CHMG,Finance
CHMI,Real Estate
CHN,Finance
CHNR,Basic Materials
CHPT,Consumer Discretionary
CHR,Technology
CHRD,Energy
CHRS,Health Care
CHRW,Consumer Discretionary
CHSCL,Industrials
CHSCM,Industrials
CHSCN,Industrials
CHSCO,Industrials
CHSCP,Industrials
CHSN,Consumer Staples
CHT,Telecommunications
CHTR,Telecommunications
CHUY,Consumer Discretionary
CHW,Finance
CHWY,Consumer Discretionary
CHX,Industrials
CHY,Finance
CI,Health Care
CIA,Finance
CIB,Finance
CIEN,Utilities
CIF,Finance
CIFR,Finance
CIFRW,Finance
CIG,Utilities
CIGI,Finance
CII,Finance
CIK,Finance
CIM,Real Estate
CINF,Finance
CING,Health Care
CINT,Technology
CIO,Real Estate
CION,Finance
CISO,Technology
CISS,Consumer Discretionary
CITE,Finance
CITEW,Finance
CIVB,Finance
CIVI,Energy
CIX,Consumer Discretionary
CJET,Consumer Discretionary
CJJD,Consumer Staples
CKPT,Health Care
CKX,Energy
CL,Consumer Discretionary
CLAR,Consumer Discretionary
CLBK,Finance
CLBT,Technology
CLBTW,Technology
CLDI,Health Care
CLDT,Real Estate
CLDX,Health Care
CLEU,Real Estate
CLF,Basic Materials
CLFD,Utilities
CLGN,Health Care
CLH,Industrials
CLIR,Industrials
CLLS,Health Care
CLM,Finance
CLMB,Technology
CLMT,Energy
CLNE,Utilities
CLNN,Health Care
CLNNW,Health Care
CLOE,Finance
CLOV,Health Care
CLPR,Real Estate
CLPS,Technology
CLPT,Health Care
CLRB,Health Care
CLRC,Finance
CLRO,Utilities
CLS,Technology
CLSD,Health Care
CLSK,Finance
CLVR,Health Care
CLVRW,Health Care
CLVT,Technology
CLW,Basic Materials
CLWT,Consumer Discretionary
CLX,Consumer Discretionary
CMA,Finance
CMAX,Technology
CMAXW,Technology
CMBM,Technology
CMC,Industrials
CMCA,Finance
CMCAW,Finance
CMCL,Basic Materials
CMCM,Technology
CMCO,Industrials
CMCSA,Telecommunications
CMCT,Real Estate
CME,Finance
CMG,Consumer Discretionary
CMI,Industrials
CMLS,Consumer Discretionary
CMMB,Health Care
CMND,Health Care
CMP,Industrials
CMPO,Finance
CMPOW,Finance
CMPR,Consumer Discretionary
CMPS,Health Care
CMPX,Health Care
CMRE,Consumer Discretionary
CMRX,Health Care
CMS,Utilities
CMSA,Utilities
CMSC,Utilities
CMSD,Utilities
CMT,Industrials
CMTG,Real Estate
CMTL,Technology
CMU,Finance
CNA,Finance
CNC,Health Care
CNDA,Finance
CNDB,Finance
CNDT,Technology
CNET,Consumer Discretionary
CNEY,Industrials
CNF,Finance
CNFR,Finance
CNGL,Finance
CNGLU,Finance
CNGLW,Finance
CNHI,Industrials
CNK,Consumer Discretionary
CNM,Consumer Discretionary
CNMD,Health Care
CNNE,Consumer Discretionary
CNO,Finance
CNOB,Finance
CNOBP,Finance
CNP,Utilities
CNQ,Energy
CNS,Finance
CNSL,Telecommunications
CNSP,Health Care
CNTA,Health Care
CNTB,Health Care
CNTG,Health Care
CNTX,Health Care
CNTY,Consumer Discretionary
CNVS,Consumer Discretionary
CNX,Energy
CNXA,Consumer Discretionary
CNXC,Technology
CNXN,Technology
COCH,Finance
COCHW,Finance
COCO,Consumer Staples
COCP,Health Care
CODA,Industrials
CODI,Consumer Discretionary
CODX,Health Care
COE,Real Estate
COEP,Health Care
COF,Finance
COFS,Finance
COGT,Health Care
COHN,Finance
COHR,Technology
COHU,Industrials
COIN,Finance
COKE,Consumer Staples
COLB,Finance
COLD,Real Estate
COLL,Health Care
COLM,Consumer Discretionary
COMM,Technology
COMP,Technology
CONN,Consumer Discretionary
CONX,Finance
CONXW,Finance
COO,Health Care
COOK,Consumer Discretionary
COOL,Finance
COOLW,Finance
COOP,Finance
COP,Energy
COR,Health Care
CORT,Health Care
COSM,Health Care
COST,Consumer Discretionary
COTY,Consumer Discretionary
COUR,Technology
COYA,Health Care
CPA,Consumer Discretionary
CPAC,Industrials
CPAY,Technology
CPB,Consumer Staples
CPE,Energy
CPF,Finance
CPG,Energy
CPHC,Consumer Discretionary
CPHI,Health Care
